version,nthread,num_steps,runtime
"atomic",8,10000000,0.51078397
"n_reduce",8,10000000,  0.002382
"critical",8,10000000,0.90044701
"reduce",8,10000000,0.0024039999
"atomic",8,10000000,0.50757903
"n_reduce",8,10000000,  0.002508
"critical",8,10000000,0.92304099
"reduce",8,10000000,0.0023719999
"atomic",8,10000000,0.52604198
"n_reduce",8,10000000,  0.002358
"critical",8,10000000,  0.889974
"reduce",8,10000000,  0.002352
"atomic",8,10000000,0.50124401
"n_reduce",8,10000000,0.0024250001
"critical",8,10000000,0.92303401
"reduce",8,10000000,0.0023699999
"atomic",8,10000000,  0.447835
"n_reduce",8,10000000,0.0023759999
"critical",8,10000000,0.92008698
"reduce",8,10000000,0.0023699999
"atomic",8,10000000,0.51520801
"n_reduce",8,10000000,0.0023660001
"critical",8,10000000,0.89428502
"reduce",8,10000000,  0.002359
"atomic",8,10000000,0.50723398
"n_reduce",8,10000000,  0.002357
"critical",8,10000000,0.91649097
"reduce",8,10000000,0.0024959999
"atomic",8,10000000,0.51588303
"n_reduce",8,10000000,   0.00236
"critical",8,10000000,0.89924997
"reduce",8,10000000,0.0023660001
"atomic",8,10000000,0.50600898
"n_reduce",8,10000000,0.0023630001
"critical",8,10000000,0.92421198
"reduce",8,10000000,  0.002391
"atomic",8,10000000,0.49514201
"n_reduce",8,10000000,0.0023620001
"critical",1,100000000,  1.258454
"reduce",1,100000000,0.089418001
"atomic",1,100000000,0.95979798
"n_reduce",1,100000000,0.088212997
"critical",1,100000000,   1.27125
"reduce",1,100000000,0.089404002
"atomic",1,100000000,0.97256398
"n_reduce",1,100000000,0.087500997
"critical",1,100000000,  1.269955
"reduce",1,100000000,  0.088891
"atomic",1,100000000,0.96898198
"n_reduce",1,100000000,0.087811999
"critical",1,100000000,  1.263443
"reduce",1,100000000,0.090671003
"atomic",1,100000000,0.96678102
"n_reduce",1,100000000,0.088426001
"critical",1,100000000,  1.261363
"reduce",1,100000000,0.087885998
"atomic",1,100000000,0.96709198
"n_reduce",1,100000000,   0.08721
"critical",1,100000000,  1.257365
"reduce",1,100000000,0.098513998
"atomic",1,100000000,0.96346402
"n_reduce",1,100000000,0.088244997
"critical",1,100000000,  1.249656
"reduce",1,100000000,0.088017002
"atomic",1,100000000,0.97652602
"n_reduce",1,100000000,0.089625999
"critical",1,100000000,  1.270283
"reduce",1,100000000,0.087636001
"atomic",1,100000000,    0.9727
"n_reduce",1,100000000,0.088823996
"critical",1,100000000,  1.284737
"reduce",1,100000000,0.087040998
"atomic",1,100000000,0.96560198
"n_reduce",1,100000000,0.088889003
"critical",1,100000000,  1.260366
"reduce",1,100000000,  0.087839
"atomic",1,100000000,0.96179801
"n_reduce",1,100000000,0.088572003
"critical",2,100000000, 2.9008141
"reduce",2,100000000,0.044622999
"atomic",2,100000000, 3.6385019
"n_reduce",2,100000000,0.044557001
"critical",2,100000000, 3.1831391
"reduce",2,100000000,0.044321999
"atomic",2,100000000, 3.8054609
"n_reduce",2,100000000,0.043914001
"critical",2,100000000,  3.092401
"reduce",2,100000000,0.044631001
"atomic",2,100000000,  2.940556
"n_reduce",2,100000000,0.044319998
"critical",2,100000000,  3.524478
"reduce",2,100000000,  0.048409
"atomic",2,100000000, 3.9111199
"n_reduce",2,100000000,0.044748001
"critical",2,100000000, 3.1434219
"reduce",2,100000000,0.045196999
"atomic",2,100000000,  3.058213
"n_reduce",2,100000000,0.044449002
"critical",2,100000000, 3.0089519
"reduce",2,100000000,  0.044429
"atomic",2,100000000,  3.832952
"n_reduce",2,100000000,0.044780001
"critical",2,100000000, 3.0502119
"reduce",2,100000000,0.077641003
"atomic",2,100000000, 3.2870951
